title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Evaluation of the logistics center locations using a multi-criteria spatial approach,"İ Önden, AZ Acar, F Eldemir",2018,95,"… freight transport systems and initializing relative supply chain … location selection processes and the logistics management … 3, the proximity to the road network was selected as a major …",FpIEqf3SNGQJ,"İ Önden, AZ Acar, F Eldemir - Transport, 2018 - journals.vilniustech.lt",[],https://journals.vilniustech.lt/index.php/Transport/article/view/178,unknown,unknown
The logistics of industrial location decisions: An application of the analytic hierarchy process methodology,P Alberto,2000,173,"… is a critical aspect of the strategic planning of a supply chain. … is usually carried out (ie tax, cost, market proximity … for such a ªtypicalº logistic decision as site selection. In particular, three …",tC3IS4GGS-MJ,"P Alberto - International Journal of Logistics, 2000 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/713682767,unknown,unknown
Logistics facilities location choice modeling: Effects of environmental constraints,"C Malandri, L Mantecchini, FPN Costa…",2026,3,"… a critical decision that influences supply chain efficiency, cost … impact of these factors on logistics facility location decisions, using the … of location choice, including proximity to transport …",mJS5Og05kT8J,"C Malandri, L Mantecchini, FPN Costa… - Journal of Transport …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S096669232500420X,unknown,unknown
"Proximity, land, labor and planning? Logistics industry perspectives on facility location","P Jakubicek, C Woudsma",2011,73,… and the location choices of logistics firms through exploring the relative importance of … s online survey was mentioned repeatedly in the Supply Chain and Logistics Canada (SCL) online …,j1dW-gG75UkJ,"P Jakubicek, C Woudsma - Transportation Letters, 2011 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.3328/TL.2011.03.03.161-173,unknown,unknown
A strategic location decision-making approach for multi-tier supply chain sustainability,"P Sirilertsuwan, S Thomassey, X Zeng",2020,26,"… 2 e supply chains have proximity between supply chain stages and … , logistics and reverse-logistics, and focal firms for supply … Therefore, we select a new supply chain that uses …",dv3BDk0ZYEIJ,"P Sirilertsuwan, S Thomassey, X Zeng - Sustainability, 2020 - mdpi.com",[],https://www.mdpi.com/2071-1050/12/20/8340,unknown,unknown
Agility and proximity considerations in supply chain design,"MK Lim, HY Mak, ZJM Shen",2017,102,… any stocking location within a certain radius of the customer location for its service parts logistics. … that the optimal choice over network density can be very different for agile and nonagile …,gh5aXpGrB4QJ,"MK Lim, HY Mak, ZJM Shen - Management Science, 2017 - pubsonline.informs.org",[],https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2015.2380,unknown,unknown
The geography of logistics firm location: the role of accessibility,"A Holl, I Mariotti",2018,151,… of time and distance in modern supply chains. While a large … the location choice of transport and logistics concerns mainly … Access to transportation infrastructure and proximity to urban …,vwjCQxwAa1EJ,"A Holl, I Mariotti - Networks and Spatial Economics, 2018 - Springer",[],https://link.springer.com/article/10.1007/S11067-017-9347-0,unknown,unknown
Understanding the location choices of logistics firms,P Jakubicek,2010,16,"… important location factors in addition to land costs, proximity to … but close proximity is not important on a site specific level. … to the people at Supply Chain and Logistics Canada. The …",CcxEXudQXU8J,P Jakubicek - 2010 - uwspace.uwaterloo.ca,[],https://uwspace.uwaterloo.ca/items/083f3f19-96e4-42cd-a57e-1f73083d4271,unknown,unknown
"Logistics facilities for intra and inter-regional shipping: Spatial distributions, location choice factors, and externality","T Sakai, K Kawamura, T Hyodo",2020,40,… and goods vehicle trips associated with four logistics facility groups that have different splits … the location choice modeling highlight the differences in the distribution and location choice …,R4XVXNlsrysJ,"T Sakai, K Kawamura, T Hyodo - Journal of Transport Geography, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0966692320301393,unknown,unknown
The geography of global supply chains: Evidence from third‐party logistics,JP Rodrigue,2012,116,… their locational strategies to maximize proximity to markets and transport terminals (Figure 4). … to site selection. The straightforwardness of site characteristics is blurred by supply chain …,7Xqvx4SZXEwJ,"JP Rodrigue - Journal of Supply Chain Management, 2012 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-493X.2012.03268.x,unknown,unknown
