title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Geomarketing techniques to locate retail companies in regulated markets,J Chacón-García,2017.0,51,"… choice of a new-business location process. To study this phenomenon, we optimized the choice of the location of a retail site in a regulated … tourist hotels location selection Int. J. Hosp. …",0BiXag7yCxMJ,"J Chacón-García - Australasian Marketing Journal, 2017 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1016/j.ausmj.2017.06.001,unknown,unknown
Does reducing spatial differentiation increase product differentiation? Effects of zoning on retail entry and format variety,"S Datta, K Sudhir",2013.0,90,"… Section 3 describes the entry and location choice data and our approach to obtaining … Finally, we account for zoning regulations particularly against big-box retailers, within commercial …",BdaBe75JAWwJ,"S Datta, K Sudhir - Quantitative Marketing and Economics, 2013 - Springer",[],https://link.springer.com/article/10.1007/s11129-012-9131-x,unknown,unknown
Retail geography,"S Wang, P Du",2020.0,20,"… This chapter accounts for the retail environment, which includes government regulations … review of zoning bylaws. This chapter covers the various methods of business site selection and …",NW-q7cjtBL8J,"S Wang, P Du - 2020 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003003762&type=googlepdf,unknown,unknown
The costs of zoning regulations in retail chains: the case of the City Planning Act of 1968 in Japan,M Nishida,2014.0,22,"… extent the existing zoning regulations affect market outcome, such as sales, profits, and location choice, by using zoning and outlet location data from the convenience-store industry in …",WSdFJwGroqwJ,"M Nishida - Journal of Regulatory Economics, 2014 - Springer",[],https://link.springer.com/article/10.1007/s11149-014-9247-x,unknown,unknown
Retail location and urban resilience: towards a new framework for retail policy,"BH Ozuduru, JM Guldmann",2013.0,65,"… can become effective tools for location analysis, site selection, and shopping center design, and can be applied to commercial zoning, design ordinances, and land use regulations. …",KDPpAsplkDsJ,"BH Ozuduru, JM Guldmann - SAPI EN. S. Surveys and …, 2013 - journals.openedition.org",[],https://journals.openedition.org/sapiens/1620,unknown,unknown
Geography and the business of retail site evaluation and selection,BJ Epstein,1971.0,23,"… A wrong choice of fire zones many create additional … Although signs are often regulated by zoning or building codes, … The final step in site analysis and ultimate site selection is a …",tp6bE9Wn7XwJ,"BJ Epstein - Economic Geography, 1971 - Taylor & Francis",[],https://www.tandfonline.com/doi/pdf/10.2307/143046,unknown,unknown
Controlling new retail spaces: The impress of planning policies in Western Europe,CM Guy,1998.0,279,"… government regulation of off-centre retailing. … retail development is permitted only on land zoned for commercial development, although the developer can petition for a commercial zone …",z9ng4XYeZKoJ,"CM Guy - Urban studies, 1998 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1080/0042098984637,unknown,unknown
Retail on the ground and on the books: vacancies and the (mis) match between retail activity and regulated land uses,"L Brooks, R Meltzer",2025.0,7,"… Over the same period, average retail rents either … regulation for NYC and Los Angeles, we found evidence of a misalignment between the space zoned for retail and the amount of retail …",YT0GdadpFkoJ,"L Brooks, R Meltzer - Journal of the American Planning Association, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/01944363.2024.2373900,unknown,unknown
US and German Approaches to Regulating Retail Development,J Gerend,,0,"… research, such as how retailers and retail formats are classified. Common site selection practices are also described … With regards to retail, the zoning regulations then specify the uses, …",UInb1MDO6J0J,J Gerend - researchgate.net,[],https://www.researchgate.net/profile/Jennifer-Gerend/publication/299582473_US_and_German_Approaches_to_Regulating_Retail_Development_Urban_Planning_Tools_and_Local_Policies/links/58998794aca2721f0db0b9b8/US-and-German-Approaches-to-Regulating-Retail-Development-Urban-Planning-Tools-and-Local-Policies.pdf,unknown,unknown
Analysing the spatial pattern of retail store locations in the urban environment of accra using GIS,"E Hogba, GAB Yiran",2024.0,7,"… However, the policy and regulatory framework did not have much influence in Nima compared to Abelemkpe and ARA where zoning restrictions limit access to retail space. …",_Rf1TwYwDTMJ,"E Hogba, GAB Yiran - GeoJournal, 2024 - Springer",[],https://link.springer.com/article/10.1007/s10708-024-11104-8,unknown,unknown
