title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Lease incentives and effective rents: A decapitalization model,RL Jefferies,1994,15,"… Details of leasings and incentives in comparable lettings in the Wellington office market were obtained by subpoena, as a result of Dickinson′s case. Because of their …",MhnwT-s0lFUJ,"RL Jefferies - Journal of Property Valuation and Investment, 1994 - emerald.com",[],https://www.emerald.com/jpif/article/12/2/21/233903,unknown,unknown
Impact of property taxes on commercial real estate competition in Romania,"C Cozmei, M Onofrei",2012,21,"… average rent fee for commercial buildings is between below … in Central Business District, the number of commercial buildings … the period for benefit from such tax incentives would be five …",_FeQr20guWoJ,"C Cozmei, M Onofrei - Procedia Economics and Finance, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S221256711200202X,unknown,unknown
Green noise or green value? Measuring the effects of environmental certification on office values,"F Fuerst, P McAllister",2011,1082,"… , tax credits and image benefits relative to noncertified … attributes and is comparable to other real estate eco-certification … physical and lease characteristics of commercial property assets…",zA0bOLB2Z3AJ,"F Fuerst, P McAllister - Real estate economics, 2011 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6229.2010.00286.x,unknown,unknown
Commercial property tax in the UK: business rates and rating appeals,"PM Greenhalgh, K Muldoon-Smith…",2016,14,"… rental value for retail, office and industrial property is relatively straightforward process, using the comparable method, with retail property … , business rates revenue, mandatory relief and …",tEJIc0qWzQEJ,"PM Greenhalgh, K Muldoon-Smith… - Journal of Property …, 2016 - emerald.com",[],https://www.emerald.com/jpif/article/34/6/602/450407,unknown,unknown
Valuations and their importance for real estate investments,"N Crosby, N Hutchison, K Lusht…",2018,26,"… For an office building, the price of the comparable may be … A lease of office or retail space in Singapore is typically for a … fixed upwards rent revisions and a redevelopment or ‘break’ …",s306Am0lKkcJ,"N Crosby, N Hutchison, K Lusht… - … companion to real estate …, 2018 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781315775579-8&type=chapterpdf,unknown,unknown
Improving the Valuation of Large Commercial Properties for Real Estate Tax Purposes,R Almy,2022,0,"… often is the case with leased office buildings, the analysis of … data on the subject property and on the comparables that are … However, concessions are a form of foregone rent, which …",Po3h0vCg2QcJ,R Almy - 2022 - etd723z5379.exactdn.com,[],https://etd723z5379.exactdn.com/app/uploads/2024/04/1125_almy_complete_web.pdf,unknown,unknown
How taxes and required returns drove commercial real estate valuations over the past four decades,"JV Duca, PH Hendershott, DC Ling",2017,15,"… by rental real estate is classified as trade or business income … “Because tax deductions and tax credits associated with … to a low-bracket one, tax privileged investments find their way into …",pQKOkpGh6mMJ,"JV Duca, PH Hendershott, DC Ling - National Tax Journal, 2017 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.17310/ntj.2017.3.02,unknown,unknown
A critical review of methodologies for measuring rental depreciation applied to UK commercial real estate,"TJ Dixon, N Crosby, VK Law",1999,47,"… and other valuations of property, especially where comparable-based methods dominate … Lettings included a number of incentives which made estimates of rental value even more dif…",KCiHbc3np0UJ,"TJ Dixon, N Crosby, VK Law - Journal of Property Research, 1999 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/095999199368201,unknown,unknown
"Commercial Real Estate Leases: Preparation, Negotiation, and Forms",MA Senn,2011,12,"… its loan is comparable to the lease that a … commercial lease is a credit instrument for the benefit of landlords and their lenders, but the ground lease is a credit instrument for the benefit …",3ReXa5g-uoYJ,MA Senn - 2011 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=nYUc46MJm64C&oi=fnd&pg=PR19&dq=commercial+real+estate+lease+comparables+tax+incentives&ots=z3YLcMTGKp&sig=_sNLJEj3_L8rPVWUATCQdJsQ2G8,unknown,unknown
Clean Tax Cuts for Commercial Real Estate,"S Nadel, B Stickles",2017,1,"… the tax credit has preserved more than 40,000 buildings and used $23.1 billion in tax credits… 30% of commercial building energy use that is in leased buildings owned by REITs, LLCs, …",zESAPhD7fNwJ,"S Nadel, B Stickles - 2017 - cleantaxcuts.org",[],https://cleantaxcuts.org/wp-content/uploads/char-rpt-commrealestate-nadel-170323-v1.pdf,unknown,unknown
